nume_actiune,timestamp
CREATE_AUTHOR,2025-05-31 20:51:25
CREATE_AUTHOR,2025-05-31 20:51:25
CREATE_AUTHOR,2025-05-31 20:51:25
CREATE_BOOK,2025-05-31 20:51:25
CREATE_BOOK,2025-05-31 20:51:25
CREATE_EBOOK,2025-05-31 20:51:25
CREATE_BOOK,2025-05-31 20:51:25
CREATE_MEMBER,2025-05-31 20:51:25
CREATE_MEMBER,2025-05-31 20:51:25
CREATE_BORROWING,2025-05-31 20:51:25
CREATE_BORROWING,2025-05-31 20:51:25
LIST_ALL_AUTHORS,2025-05-31 20:51:25
LIST_ALL_BOOKS,2025-05-31 20:51:25
LIST_AVAILABLE_BOOKS,2025-05-31 20:51:25
LIST_ALL_MEMBERS,2025-05-31 20:51:25
UPDATE_AUTHOR,2025-05-31 20:51:25
UPDATE_MEMBER,2025-05-31 20:51:25
RETURN_BOOK,2025-05-31 20:51:25
LIST_AVAILABLE_BOOKS,2025-05-31 20:51:25
SEARCH_BOOKS_BY_TITLE,2025-05-31 20:51:25
GET_MOST_POPULAR_BOOKS,2025-05-31 20:51:25
GET_MEMBER_BORROWING_HISTORY,2025-05-31 20:51:25
